ticker,total_mentions,first_seen_utc,speculator_io,michaelsikand,zephyr_z9,kawzinvests,handles_count
AAOI,198,2026-01-05 22:04 UTC,17,78,0,103,3
KRKNF,152,2026-01-05 17:34 UTC,1,140,0,11,3
LITE,137,2026-01-11 00:23 UTC,19,45,0,73,3
COHR,108,2026-01-11 00:23 UTC,12,31,0,65,3
NVDA,88,2026-01-05 22:04 UTC,13,20,0,55,3
FLY,66,2026-01-05 22:04 UTC,12,39,0,15,3
MU,66,2026-01-06 16:31 UTC,26,21,0,19,3
NOK,66,2026-03-12 18:06 UTC,4,19,0,43,3
ONDS,59,2026-01-06 20:44 UTC,14,21,0,24,3
AVEX,56,2026-04-20 14:03 UTC,4,39,0,13,3
ASTS,54,2026-01-06 20:44 UTC,15,29,0,10,3
SNDK,50,2026-01-06 16:31 UTC,27,7,0,16,3
RKLB,47,2026-01-05 22:04 UTC,16,18,0,13,3
CIEN,46,2026-02-19 19:53 UTC,9,12,0,25,3
OPTX,39,2026-01-20 15:31 UTC,11,6,0,22,3
AEHR,38,2026-01-06 20:44 UTC,14,8,0,16,3
SATS,37,2026-01-16 17:53 UTC,3,32,0,2,3
TSEM,37,2026-02-19 19:53 UTC,5,14,0,18,3
VIAV,36,2026-02-13 23:08 UTC,11,4,0,21,3
PENG,31,2026-05-11 14:03 UTC,1,16,0,14,3
NBIS,29,2026-01-05 22:04 UTC,13,12,0,4,3
PNG,29,2026-01-12 20:18 UTC,0,27,0,2,2
WDC,28,2026-01-06 16:31 UTC,26,1,0,1,3
QCOM,28,2026-04-26 21:22 UTC,3,21,0,4,3
MRVL,27,2026-01-06 16:31 UTC,11,6,1,9,4
KTOS,27,2026-01-06 20:44 UTC,11,14,0,2,3
RCAT,27,2026-01-06 20:44 UTC,12,11,0,4,3
OSS,27,2026-01-08 22:48 UTC,5,5,0,17,3
AMZN,26,2026-01-17 21:48 UTC,15,3,0,8,3
DELL,25,2026-01-11 00:23 UTC,11,5,0,9,3
AXTI,24,2026-01-06 20:44 UTC,16,5,0,3,3
INTC,24,2026-01-11 00:23 UTC,11,9,0,4,3
SOI,24,2026-03-19 17:49 UTC,1,17,0,6,3
GOOGL,21,2026-01-01 22:02 UTC,14,0,0,7,2
GLW,21,2026-01-11 00:23 UTC,18,0,0,3,2
AMD,21,2026-01-22 22:47 UTC,8,5,0,8,3
EWY,21,2026-02-17 15:38 UTC,0,5,0,16,2
EQR,21,2026-03-12 18:39 UTC,0,12,0,9,2
STX,20,2026-01-06 16:31 UTC,19,1,0,0,2
META,20,2026-02-05 19:49 UTC,6,7,0,7,3
INFQ,20,2026-03-21 23:45 UTC,2,18,0,0,2
IREN,19,2026-01-05 22:04 UTC,13,6,0,0,2
CRWV,19,2026-01-05 22:04 UTC,10,5,0,4,3
UUUU,18,2026-01-06 20:44 UTC,17,1,0,0,2
ARM,18,2026-01-11 00:23 UTC,9,5,0,4,3
LASR,18,2026-02-25 23:26 UTC,6,7,0,5,3
LWLG,18,2026-03-11 21:24 UTC,6,7,0,5,3
VRT,17,2026-01-01 22:02 UTC,15,1,0,1,3
PLTR,17,2026-01-05 22:04 UTC,6,9,0,2,3
UAMY,17,2026-01-06 20:44 UTC,15,2,0,0,2
LTRX,17,2026-01-27 21:37 UTC,0,7,0,10,2
ALM,17,2026-02-03 16:32 UTC,0,7,0,10,2
AVGO,16,2026-01-01 22:02 UTC,7,0,0,9,2
USAR,16,2026-01-06 20:44 UTC,15,1,0,0,2
TSM,16,2026-01-11 00:23 UTC,10,3,0,3,3
TMC,16,2026-01-14 20:26 UTC,8,8,0,0,2
PL,16,2026-01-17 21:48 UTC,13,2,0,1,3
GEV,15,2026-01-01 22:02 UTC,15,0,0,0,1
NVTS,15,2026-01-06 20:44 UTC,14,0,0,1,2
AVAV,15,2026-01-06 20:44 UTC,7,8,0,0,2
BRUN,15,2026-06-01 16:41 UTC,0,12,0,3,2
UMAC,14,2026-01-06 20:44 UTC,12,2,0,0,2
STM,14,2026-01-11 00:23 UTC,9,0,0,5,2
TSLA,14,2026-01-17 21:48 UTC,9,3,0,2,3
HUT,13,2026-01-05 22:04 UTC,12,1,0,0,2
APLD,13,2026-01-05 22:04 UTC,10,2,0,1,3
VICR,13,2026-01-06 20:44 UTC,11,1,0,1,3
BKSY,13,2026-01-06 20:44 UTC,11,2,0,0,2
CRML,13,2026-01-06 20:44 UTC,12,1,0,0,2
ORCL,13,2026-02-05 19:49 UTC,7,4,0,2,3
MSFT,13,2026-02-05 19:49 UTC,5,2,0,6,3
HOOD,13,2026-03-26 03:12 UTC,2,11,0,0,2
SKM,13,2026-06-11 14:38 UTC,0,0,0,13,1
LUNR,12,2026-01-05 22:04 UTC,6,3,0,3,3
LRCX,12,2026-01-06 16:31 UTC,12,0,0,0,1
KRMN,12,2026-01-06 20:44 UTC,11,1,0,0,2
LMT,12,2026-01-08 22:48 UTC,7,3,0,2,3
APP,12,2026-02-13 19:45 UTC,1,11,0,0,2
SLOIF,12,2026-03-19 17:49 UTC,0,6,0,6,2
AIXA,12,2026-04-15 22:15 UTC,3,3,0,6,3
HLIT,12,2026-05-22 22:38 UTC,0,8,0,4,2
BA,11,2026-01-01 22:02 UTC,9,0,0,2,2
KEYS,11,2026-01-11 00:23 UTC,6,0,0,5,2
CRDO,11,2026-03-04 22:14 UTC,5,0,0,6,2
CCJ,10,2026-01-06 20:44 UTC,10,0,0,0,1
VSAT,10,2026-01-06 20:44 UTC,10,0,0,0,1
CAMT,10,2026-01-06 20:44 UTC,9,0,0,1,2
LEU,10,2026-01-06 20:44 UTC,9,1,0,0,2
TER,10,2026-01-06 20:44 UTC,10,0,0,0,1
BWXT,10,2026-01-08 22:48 UTC,10,0,0,0,1
FN,10,2026-01-11 00:23 UTC,6,0,0,4,2
OKLO,10,2026-01-12 23:51 UTC,9,1,0,0,2
IONQ,10,2026-01-17 21:48 UTC,6,3,0,1,3
RGTI,10,2026-01-17 21:48 UTC,6,4,0,0,2
SATL,10,2026-01-27 22:30 UTC,10,0,0,0,1
RDW,9,2026-01-05 22:04 UTC,7,1,0,1,3
ASML,9,2026-01-06 20:44 UTC,9,0,0,0,1
PDYN,9,2026-01-12 23:51 UTC,4,0,0,5,2
TMQ,9,2026-01-14 20:26 UTC,9,0,0,0,1
SPIR,9,2026-01-27 22:30 UTC,9,0,0,0,1
POET,9,2026-02-02 17:54 UTC,3,2,0,4,3
ICHR,9,2026-02-13 23:08 UTC,9,0,0,0,1
MP,8,2026-01-05 22:04 UTC,8,0,0,0,1
WULF,8,2026-01-05 22:04 UTC,8,0,0,0,1
SKYT,8,2026-01-05 22:04 UTC,8,0,0,0,1
MPWR,8,2026-01-06 20:44 UTC,7,0,0,1,2
TDY,8,2026-01-08 22:48 UTC,7,1,0,0,2
FLEX,8,2026-01-11 00:23 UTC,8,0,0,0,1
TE,8,2026-01-17 21:48 UTC,8,0,0,0,1
QBTS,8,2026-01-17 21:48 UTC,6,2,0,0,2
DOCN,8,2026-02-13 23:08 UTC,8,0,0,0,1
FSLY,8,2026-02-13 23:08 UTC,8,0,0,0,1
FCEL,8,2026-03-04 22:14 UTC,4,3,0,1,3
EOS,8,2026-03-23 23:15 UTC,0,5,0,3,2
VCX,8,2026-03-25 04:31 UTC,1,7,0,0,2
BB,8,2026-05-02 23:42 UTC,0,2,0,6,2
HPE,8,2026-05-12 18:40 UTC,4,3,0,1,3
KLAC,7,2026-01-01 22:02 UTC,7,0,0,0,1
ALAB,7,2026-01-05 22:04 UTC,6,1,0,0,2
FIX,7,2026-01-06 20:44 UTC,7,0,0,0,1
NOC,7,2026-01-08 22:48 UTC,7,0,0,0,1
RTX,7,2026-01-08 22:48 UTC,7,0,0,0,1
ETN,7,2026-01-11 00:23 UTC,7,0,0,0,1
ASX,7,2026-01-11 00:23 UTC,7,0,0,0,1
PWR,7,2026-01-17 21:48 UTC,6,0,0,1,2
UEC,7,2026-01-18 21:49 UTC,7,0,0,0,1
NUAI,7,2026-01-22 22:47 UTC,7,0,0,0,1
SOLS,7,2026-01-27 22:30 UTC,7,0,0,0,1
ENLT,7,2026-02-13 23:08 UTC,7,0,0,0,1
GOOG,7,2026-02-18 16:16 UTC,0,3,0,4,2
IBM,7,2026-02-23 20:19 UTC,3,0,0,4,2
ERII,7,2026-03-09 15:07 UTC,0,3,0,4,2
CRCL,7,2026-03-17 22:31 UTC,4,3,0,0,2
SIVE,7,2026-04-10 00:33 UTC,3,4,0,0,2
SIMO,6,2026-01-06 16:31 UTC,5,0,0,1,2
LHX,6,2026-01-08 22:48 UTC,6,0,0,0,1
DPRO,6,2026-01-08 22:48 UTC,4,1,0,1,3
SMCI,6,2026-01-11 00:23 UTC,4,1,0,1,3
ADI,6,2026-01-11 00:23 UTC,5,0,0,1,2
APH,6,2026-01-11 00:23 UTC,6,0,0,0,1
ALMU,6,2026-01-12 23:51 UTC,3,1,0,2,3
FLNC,6,2026-01-17 21:48 UTC,6,0,0,0,1
GLXY,6,2026-01-17 21:48 UTC,5,1,0,0,2
POWL,6,2026-01-17 21:48 UTC,6,0,0,0,1
NOW,6,2026-02-23 20:19 UTC,2,2,0,2,3
WYFI,6,2026-03-04 22:14 UTC,5,1,0,0,2
AMPX,6,2026-03-10 21:08 UTC,5,1,0,0,2
CSCO,6,2026-03-25 23:40 UTC,4,0,0,2,2
GFS,6,2026-03-25 23:40 UTC,4,2,0,0,2
MS,6,2026-03-30 19:32 UTC,0,6,0,0,1
EQRLF,6,2026-04-02 16:12 UTC,0,5,0,1,2
IQE,6,2026-04-10 00:33 UTC,3,3,0,0,2
YSS,6,2026-04-15 22:15 UTC,6,0,0,0,1
CLSK,6,2026-04-21 21:19 UTC,3,3,0,0,2
CBRS,6,2026-05-10 17:45 UTC,0,6,0,0,1
ANET,5,2026-01-01 22:02 UTC,5,0,0,0,1
BTDR,5,2026-01-05 22:04 UTC,5,0,0,0,1
AMAT,5,2026-01-06 16:31 UTC,5,0,0,0,1
AEVA,5,2026-01-06 20:44 UTC,5,0,0,0,1
SERV,5,2026-01-06 20:44 UTC,5,0,0,0,1
ACMR,5,2026-01-06 20:44 UTC,5,0,0,0,1
ATRO,5,2026-01-08 22:48 UTC,5,0,0,0,1
ESLT,5,2026-01-08 22:48 UTC,5,0,0,0,1
AMKR,5,2026-01-11 00:23 UTC,5,0,0,0,1
SMR,5,2026-01-12 23:51 UTC,4,1,0,0,2
NNE,5,2026-01-12 23:51 UTC,4,1,0,0,2
EOSE,5,2026-01-12 23:51 UTC,5,0,0,0,1
IDR,5,2026-01-14 20:26 UTC,5,0,0,0,1
RR,5,2026-01-27 22:30 UTC,4,1,0,0,2
VST,5,2026-01-28 22:17 UTC,5,0,0,0,1
CEG,5,2026-01-28 22:17 UTC,5,0,0,0,1
HO,5,2026-02-22 22:03 UTC,5,0,0,0,1
SNOW,5,2026-03-10 21:08 UTC,2,3,0,0,2
CF,5,2026-03-12 18:39 UTC,1,0,0,4,2
HIMX,5,2026-03-25 23:40 UTC,5,0,0,0,1
FORM,5,2026-03-25 23:40 UTC,5,0,0,0,1
TMUS,5,2026-04-09 20:21 UTC,2,0,0,3,2
ALRIB,5,2026-04-15 22:15 UTC,3,0,0,2,2
LPK,5,2026-04-16 20:58 UTC,0,2,0,3,2
VOYG,5,2026-04-16 23:10 UTC,5,0,0,0,1
WOLF,5,2026-04-20 22:11 UTC,4,0,0,1,2
TXN,5,2026-05-02 23:42 UTC,2,0,0,3,2
CRM,4,2026-01-01 22:02 UTC,2,0,0,2,2
CIFR,4,2026-01-05 22:04 UTC,4,0,0,0,1
INOD,4,2026-01-06 20:44 UTC,3,1,0,0,2
JOBY,4,2026-01-06 20:44 UTC,4,0,0,0,1
FIGR,4,2026-01-06 20:44 UTC,4,0,0,0,1
RDDT,4,2026-01-06 20:44 UTC,1,1,0,2,3
AIRO,4,2026-01-08 22:48 UTC,4,0,0,0,1
PRZO,4,2026-01-08 22:48 UTC,4,0,0,0,1
TXT,4,2026-01-08 22:48 UTC,4,0,0,0,1
DCO,4,2026-01-08 22:48 UTC,3,1,0,0,2
JBL,4,2026-01-11 00:23 UTC,4,0,0,0,1
ASPI,4,2026-01-12 23:51 UTC,4,0,0,0,1
PPTA,4,2026-01-14 20:26 UTC,4,0,0,0,1
NB,4,2026-01-14 20:26 UTC,4,0,0,0,1
ELVA,4,2026-01-17 21:48 UTC,4,0,0,0,1
LAC,4,2026-01-18 21:49 UTC,3,0,0,1,2
IPX,4,2026-01-18 21:49 UTC,3,1,0,0,2
ERAS,4,2026-01-27 22:30 UTC,4,0,0,0,1
PLAB,4,2026-02-02 17:54 UTC,1,0,0,3,2
AAPL,4,2026-02-05 19:49 UTC,4,0,0,0,1
CPSH,4,2026-02-13 23:08 UTC,4,0,0,0,1
MTSI,4,2026-02-13 23:08 UTC,3,0,0,1,2
AEP,4,2026-02-19 15:15 UTC,0,1,0,3,2
BABA,4,2026-02-20 18:52 UTC,3,0,0,1,2
HON,4,2026-02-22 22:03 UTC,4,0,0,0,1
HIMS,4,2026-02-24 22:33 UTC,3,1,0,0,2
UI,4,2026-02-25 23:26 UTC,4,0,0,0,1
AEIS,4,2026-02-25 23:26 UTC,3,0,1,0,2
DXYZ,4,2026-03-01 15:42 UTC,1,2,0,1,3
STCK,4,2026-03-01 15:42 UTC,0,3,0,1,2
STCGF,4,2026-03-01 15:42 UTC,0,3,0,1,2
NET,4,2026-03-10 21:08 UTC,4,0,0,0,1
SGOV,4,2026-03-15 16:17 UTC,0,4,0,0,1
LPTH,4,2026-03-25 23:40 UTC,2,2,0,0,2
IBKR,4,2026-03-26 03:12 UTC,1,3,0,0,2
SIDU,4,2026-04-16 23:10 UTC,4,0,0,0,1
GILT,4,2026-04-16 23:10 UTC,4,0,0,0,1
GSAT,4,2026-04-16 23:10 UTC,4,0,0,0,1
M,4,2026-04-20 09:33 UTC,0,2,0,2,2
VELO,4,2026-04-21 21:19 UTC,4,0,0,0,1
SU,4,2026-05-03 11:34 UTC,4,0,0,0,1
AOSL,4,2026-05-03 11:34 UTC,2,0,0,2,2
MXL,4,2026-05-03 21:16 UTC,2,2,0,0,2
CDNL,4,2026-05-03 21:16 UTC,4,0,0,0,1
XE,4,2026-05-04 22:25 UTC,4,0,0,0,1
DGXX,4,2026-05-07 21:15 UTC,2,2,0,0,2
XOVR,4,2026-05-17 22:10 UTC,1,3,0,0,2
MX,4,2026-05-28 15:11 UTC,1,0,0,3,2
CAT,3,2026-01-01 22:02 UTC,3,0,0,0,1
SNPS,3,2026-01-01 22:02 UTC,3,0,0,0,1
V,3,2026-01-01 22:02 UTC,3,0,0,0,1
CORZ,3,2026-01-05 22:04 UTC,3,0,0,0,1
GEMI,3,2026-01-05 22:04 UTC,3,0,0,0,1
TLN,3,2026-01-05 22:04 UTC,3,0,0,0,1
RMBS,3,2026-01-06 16:31 UTC,3,0,0,0,1
NVMI,3,2026-01-06 20:44 UTC,3,0,0,0,1
FTAI,3,2026-01-06 20:44 UTC,3,0,0,0,1
HXL,3,2026-01-08 22:48 UTC,3,0,0,0,1
AIR,3,2026-01-08 22:48 UTC,3,0,0,0,1
HEI,3,2026-01-08 22:48 UTC,3,0,0,0,1
TDG,3,2026-01-08 22:48 UTC,3,0,0,0,1
CW,3,2026-01-08 22:48 UTC,3,0,0,0,1
LTBR,3,2026-01-12 23:51 UTC,3,0,0,0,1
AREC,3,2026-01-14 20:26 UTC,3,0,0,0,1
PATH,3,2026-01-16 18:42 UTC,1,0,0,2,2
AMTM,3,2026-01-17 21:48 UTC,3,0,0,0,1
AGX,3,2026-01-17 21:48 UTC,3,0,0,0,1
URG,3,2026-01-18 21:49 UTC,3,0,0,0,1
EU,3,2026-01-18 21:49 UTC,3,0,0,0,1
NXE,3,2026-01-18 21:49 UTC,3,0,0,0,1
DNN,3,2026-01-18 21:49 UTC,3,0,0,0,1
TMRC,3,2026-01-18 21:49 UTC,3,0,0,0,1
MSTR,3,2026-02-05 19:49 UTC,3,0,0,0,1
GNRC,3,2026-02-19 23:50 UTC,3,0,0,0,1
ZENA,3,2026-02-22 22:03 UTC,3,0,0,0,1
ACHR,3,2026-02-22 22:03 UTC,3,0,0,0,1
TRMB,3,2026-02-22 22:03 UTC,3,0,0,0,1
UAVS,3,2026-02-22 22:03 UTC,3,0,0,0,1
LDO,3,2026-02-22 22:03 UTC,3,0,0,0,1
KULR,3,2026-03-04 22:14 UTC,3,0,0,0,1
COIN,3,2026-03-04 22:14 UTC,3,0,0,0,1
PLUG,3,2026-03-04 22:14 UTC,3,0,0,0,1
FJET,3,2026-03-04 22:14 UTC,3,0,0,0,1
AUR,3,2026-03-16 19:14 UTC,1,2,0,0,2
QUBT,3,2026-04-15 22:15 UTC,3,0,0,0,1
TSAT,3,2026-04-15 22:15 UTC,3,0,0,0,1
UBER,3,2026-04-15 22:15 UTC,3,0,0,0,1
MDA,3,2026-04-16 23:10 UTC,2,1,0,0,2
UMC,3,2026-04-20 22:11 UTC,3,0,0,0,1
SWMR,3,2026-04-22 00:05 UTC,2,1,0,0,2
DRAM,3,2026-04-29 17:45 UTC,0,3,0,0,1
FFIV,3,2026-04-29 22:17 UTC,3,0,0,0,1
HIVE,3,2026-05-07 21:15 UTC,2,1,0,0,2
STRL,3,2026-05-09 20:44 UTC,3,0,0,0,1
AMBQ,3,2026-05-12 22:43 UTC,3,0,0,0,1
PURR,3,2026-05-12 22:43 UTC,3,0,0,0,1
DLR,2,2026-01-01 22:02 UTC,2,0,0,0,1
PANW,2,2026-01-01 22:02 UTC,2,0,0,0,1
CVNA,2,2026-01-01 22:02 UTC,2,0,0,0,1
C,2,2026-01-01 22:02 UTC,2,0,0,0,1
SBUX,2,2026-01-01 22:02 UTC,2,0,0,0,1
SLB,2,2026-01-01 22:02 UTC,2,0,0,0,1
XOM,2,2026-01-01 22:02 UTC,2,0,0,0,1
RKT,2,2026-01-05 22:04 UTC,2,0,0,0,1
NTAP,2,2026-01-06 16:31 UTC,2,0,0,0,1
OSCR,2,2026-01-06 20:44 UTC,2,0,0,0,1
NU,2,2026-01-06 20:44 UTC,2,0,0,0,1
J,2,2026-01-08 22:48 UTC,2,0,0,0,1
BAH,2,2026-01-08 22:48 UTC,2,0,0,0,1
LDOS,2,2026-01-08 22:48 UTC,2,0,0,0,1
PSN,2,2026-01-08 22:48 UTC,2,0,0,0,1
AXON,2,2026-01-08 22:48 UTC,2,0,0,0,1
HWM,2,2026-01-08 22:48 UTC,2,0,0,0,1
GD,2,2026-01-08 22:48 UTC,2,0,0,0,1
HII,2,2026-01-08 22:48 UTC,2,0,0,0,1
MRCY,2,2026-01-08 22:48 UTC,1,1,0,0,2
BBAI,2,2026-01-08 22:48 UTC,1,1,0,0,2
ISOU,2,2026-01-18 21:49 UTC,2,0,0,0,1
REEMF,2,2026-01-18 21:49 UTC,2,0,0,0,1
TGB,2,2026-01-18 21:49 UTC,2,0,0,0,1
